customerID,gender,age,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,has_dependents,has_partner,num_support_tickets,is_active_member,churn
C101045,Male,49,7,22.2,168.82,month-to-month,DSL,Electronic check,1,0,1,0,0
C101046,Male,25,12,24.1,297.34,month-to-month,DSL,Electronic check,1,0,0,1,1
C101047,Female,56,49,50.07,2452.43,one year,Fiber,Credit card,0,0,1,0,0
C101048,Female,29,6,53.71,348.87,month-to-month,Fiber,Electronic check,1,1,2,0,1
C101049,Male,39,14,25.58,392.79,month-to-month,DSL,Electronic check,0,1,0,0,0
C101050,Female,45,6,15.0,20.05,two years,None,Credit card,0,0,1,1,1
C101051,Male,27,5,54.03,267.89,month-to-month,Fiber,Bank transfer,1,1,2,1,1
C101052,Female,44,5,39.83,178.26,month-to-month,Fiber,Bank transfer,0,0,3,1,1
C101053,Female,35,19,53.86,1033.07,one year,Fiber,Electronic check,0,0,2,0,1
C101054,Male,74,50,25.26,1242.33,two years,DSL,Bank transfer,1,1,0,1,0
C101055,Female,75,35,54.05,1955.59,month-to-month,Fiber,Credit card,0,0,4,0,0
C101056,Male,18,7,51.01,353.66,one year,Fiber,Electronic check,1,1,3,0,0
C101057,Female,58,4,15.0,109.33,month-to-month,None,Electronic check,1,0,4,0,1
C101058,Male,60,6,43.91,215.83,one year,Fiber,Electronic check,0,0,6,1,0
C101059,Male,43,24,36.29,856.97,month-to-month,DSL,Credit card,0,1,3,1,0
C101060,Female,49,6,24.96,119.05,one year,DSL,Electronic check,0,0,2,1,1
C101061,Female,70,12,33.71,424.24,month-to-month,DSL,Mailed check,1,0,2,0,1
C101062,Male,43,5,27.24,76.96,month-to-month,None,Mailed check,1,0,1,1,0
C101063,Female,22,13,53.52,610.29,month-to-month,Fiber,Credit card,1,1,2,0,0
C101064,Female,42,23,15.0,313.72,one year,None,Electronic check,1,0,2,0,1
C101065,Male,35,11,17.88,224.72,one year,None,Mailed check,1,0,1,1,0
C101066,Female,43,61,16.64,974.86,one year,DSL,Credit card,1,0,3,0,0
C101067,Female,33,8,42.45,352.89,two years,Fiber,Electronic check,1,1,3,0,0
C101068,Male,28,5,53.75,236.37,month-to-month,Fiber,Bank transfer,0,1,5,1,1
C101069,Male,84,7,25.75,92.64,one year,DSL,Electronic check,1,0,1,0,1
C101070,Female,26,4,55.81,265.83,month-to-month,Fiber,Electronic check,1,1,3,1,1
C101071,Male,65,20,41.39,860.33,two years,Fiber,Electronic check,0,0,1,0,0
C101072,Female,66,5,15.73,76.68,one year,None,Electronic check,0,1,2,1,0
C101073,Female,59,18,39.16,707.05,month-to-month,DSL,Electronic check,1,0,0,1,0
C101074,Male,79,12,15.21,172.15,month-to-month,None,Credit card,1,0,1,1,1
C101075,Male,18,10,21.96,167.98,one year,None,Mailed check,0,0,0,1,0
C101076,Female,38,13,21.56,345.64,one year,None,Electronic check,0,1,0,0,1
C101077,Male,30,5,29.23,141.1,one year,DSL,Bank transfer,0,1,1,1,0
C101078,Male,56,19,27.98,549.65,month-to-month,DSL,Credit card,0,1,0,1,1
C101079,Female,60,3,51.71,130.2,month-to-month,Fiber,Electronic check,1,1,3,1,0
C101080,Female,78,2,15.98,54.1,two years,DSL,Electronic check,1,1,2,0,1
C101081,Female,43,20,22.19,501.05,one year,DSL,Electronic check,1,0,3,1,1
C101082,Female,33,32,50.66,1629.36,month-to-month,Fiber,Credit card,1,1,1,1,0
C101083,Female,79,8,25.58,222.68,month-to-month,DSL,Credit card,1,1,1,0,0
C101084,Male,63,1,43.83,87.73,one year,Fiber,Mailed check,1,0,4,0,0
C101085,Female,69,11,15.0,200.37,one year,None,Electronic check,0,1,1,0,0
C101086,Female,47,5,53.26,318.53,month-to-month,Fiber,Mailed check,0,0,4,0,0
C101087,Female,47,2,18.17,52.39,two years,None,Bank transfer,0,1,2,0,0
C101088,Female,44,9,50.98,474.88,two years,Fiber,Electronic check,1,0,2,0,1
C101089,Male,68,1,24.83,36.8,month-to-month,DSL,Electronic check,1,0,2,0,0
C101090,Female,32,13,25.71,377.48,month-to-month,DSL,Electronic check,0,1,2,0,1
C101091,Male,83,9,49.75,426.16,month-to-month,Fiber,Bank transfer,0,0,4,1,1
C101092,Female,29,35,29.11,1045.44,one year,DSL,Credit card,0,0,1,1,0
C101093,Male,48,10,19.54,310.27,month-to-month,None,Electronic check,0,0,1,0,0
C101094,Male,39,14,15.39,233.38,two years,None,Credit card,1,0,0,0,0
C101095,Male,61,10,33.23,272.45,month-to-month,DSL,Mailed check,0,1,2,0,0
C101096,Female,63,15,21.73,311.46,month-to-month,DSL,Bank transfer,1,1,0,0,1
C101097,Female,79,24,40.85,1011.37,two years,Fiber,Credit card,1,0,1,0,0
C101098,Male,70,12,34.37,378.97,two years,Fiber,Bank transfer,1,1,2,0,1
C101099,Male,34,11,27.74,256.28,month-to-month,DSL,Electronic check,1,1,2,0,0
C101100,Male,31,5,28.51,73.58,month-to-month,DSL,Electronic check,0,0,2,1,0
C101101,Male,77,3,34.27,92.41,month-to-month,DSL,Credit card,1,1,1,1,0
C101102,Female,50,5,50.42,332.68,month-to-month,Fiber,Bank transfer,1,1,4,1,0
C101103,Male,24,12,28.24,312.27,month-to-month,DSL,Electronic check,1,0,2,0,1
C101104,Male,73,18,61.04,1142.6,month-to-month,Fiber,Bank transfer,0,0,1,1,1
C101105,Male,61,12,26.1,299.2,month-to-month,DSL,Electronic check,0,0,1,0,1
C101106,Male,19,38,47.0,1766.71,one year,Fiber,Electronic check,1,0,2,1,0
C101107,Female,70,13,48.9,661.52,one year,Fiber,Credit card,0,0,3,1,0
C101108,Female,58,23,26.4,530.51,one year,DSL,Electronic check,1,0,0,1,0
C101109,Male,59,69,16.07,1192.07,month-to-month,None,Electronic check,0,1,1,1,0
C101110,Female,75,32,45.81,1492.83,month-to-month,Fiber,Electronic check,0,0,1,0,0
C101111,Male,51,36,23.66,904.31,month-to-month,None,Credit card,0,0,1,0,0
C101112,Male,48,8,45.78,353.36,two years,Fiber,Electronic check,0,1,1,0,0
C101113,Male,59,5,50.29,276.29,month-to-month,Fiber,Electronic check,1,0,3,0,1
C101114,Male,31,9,18.97,217.35,one year,DSL,Electronic check,1,0,2,1,0
C101115,Male,28,2,50.61,96.68,month-to-month,Fiber,Electronic check,0,0,5,1,1
C101116,Female,74,1,48.13,4.47,two years,Fiber,Electronic check,1,1,3,1,0
C101117,Female,32,3,45.52,89.42,month-to-month,Fiber,Electronic check,1,1,4,0,1
C101118,Female,51,3,28.97,65.76,month-to-month,DSL,Electronic check,0,0,2,1,0
C101119,Male,36,31,25.84,812.51,one year,DSL,Bank transfer,0,1,1,1,0
C101120,Male,33,41,36.0,1467.66,month-to-month,DSL,Electronic check,0,1,0,0,1
C101121,Male,58,13,27.91,338.31,month-to-month,DSL,Electronic check,0,0,0,1,0
C101122,Male,71,12,52.97,669.6,month-to-month,Fiber,Bank transfer,0,0,3,1,0
C101123,Male,47,11,17.51,169.54,two years,None,Electronic check,1,1,1,1,0
C101124,Female,27,43,18.14,750.35,one year,DSL,Electronic check,0,0,0,0,0
C101125,Female,34,5,24.0,166.96,month-to-month,DSL,Credit card,1,0,1,1,0
C101126,Female,29,20,25.08,529.22,one year,DSL,Bank transfer,1,1,1,1,1
C101127,Female,77,4,30.46,60.57,one year,DSL,Bank transfer,0,0,1,1,0
C101128,Female,39,7,52.22,298.98,month-to-month,Fiber,Mailed check,0,0,1,0,0
C101129,Female,43,14,35.9,447.24,month-to-month,DSL,Credit card,1,0,1,0,0
C101130,Male,22,22,15.0,328.47,month-to-month,None,Electronic check,1,1,1,0,0
C101131,Female,47,2,17.28,93.49,one year,None,Electronic check,1,1,1,1,0
C101132,Female,79,14,36.32,580.83,month-to-month,Fiber,Credit card,1,0,1,1,0
C101133,Female,45,17,17.19,329.71,two years,None,Electronic check,0,1,2,1,0
C101134,Female,61,5,56.5,378.13,month-to-month,Fiber,Bank transfer,0,0,5,0,1
C101135,Male,30,35,15.0,535.08,one year,None,Electronic check,0,0,2,0,0
C101136,Female,27,8,19.0,207.49,month-to-month,DSL,Electronic check,1,1,1,0,0
C101137,Male,67,9,15.0,106.44,one year,None,Bank transfer,1,0,1,1,0
C101138,Female,22,4,36.13,66.73,month-to-month,DSL,Mailed check,1,1,2,0,0
C101139,Female,48,8,52.62,405.54,month-to-month,Fiber,Bank transfer,0,0,2,1,0
C101140,Female,39,1,29.8,23.54,month-to-month,None,Electronic check,1,1,3,0,0
C101141,Male,19,20,44.07,1010.64,one year,Fiber,Electronic check,0,0,1,1,0
C101142,Female,53,35,40.7,1424.56,month-to-month,DSL,Bank transfer,1,1,1,0,0
C101143,Female,82,30,15.44,412.28,one year,DSL,Electronic check,0,0,0,0,0
C101144,Male,22,7,26.75,235.5,month-to-month,DSL,Bank transfer,1,0,0,1,0
C101145,Male,72,18,44.07,755.31,month-to-month,Fiber,Mailed check,1,0,1,0,0
C101146,Female,54,7,54.23,386.78,month-to-month,Fiber,Electronic check,1,0,1,0,1
C101147,Female,66,1,44.49,88.35,month-to-month,Fiber,Electronic check,1,0,3,1,1
C101148,Female,24,6,25.58,106.9,month-to-month,None,Credit card,0,1,1,0,1
C101149,Female,76,9,33.98,381.68,month-to-month,DSL,Electronic check,0,0,2,1,1
C101150,Male,18,7,16.45,171.47,one year,None,Electronic check,0,0,1,0,0
C101151,Female,78,11,39.98,457.42,two years,Fiber,Credit card,1,0,1,0,0
C101152,Male,62,10,45.28,540.35,month-to-month,Fiber,Electronic check,1,0,2,0,0
C101153,Female,40,4,48.54,175.07,one year,Fiber,Credit card,1,0,2,0,0
C101154,Male,18,2,15.0,69.71,one year,None,Electronic check,0,1,2,1,0
C101155,Female,58,5,29.35,160.7,one year,DSL,Electronic check,0,1,4,1,0
C101156,Male,23,26,58.0,1476.14,month-to-month,Fiber,Mailed check,0,1,2,1,0
C101157,Female,58,11,15.0,134.61,two years,None,Electronic check,1,0,1,0,1
C101158,Male,69,9,57.11,615.56,month-to-month,Fiber,Bank transfer,1,1,2,0,0
C101159,Male,35,5,26.46,185.26,one year,DSL,Electronic check,1,1,1,1,0
C101160,Female,33,12,53.49,686.39,month-to-month,Fiber,Mailed check,1,1,1,0,0
C101161,Male,32,6,38.9,202.13,one year,Fiber,Credit card,1,0,2,1,0
C101162,Female,33,5,17.08,120.78,two years,DSL,Bank transfer,0,1,2,1,1
C101163,Female,25,23,37.02,833.09,two years,Fiber,Mailed check,1,0,4,0,1
C101164,Female,34,9,27.24,330.05,month-to-month,None,Electronic check,1,0,0,0,0
C101165,Male,62,7,43.75,366.92,one year,Fiber,Electronic check,0,0,1,1,1
C101166,Male,38,5,33.65,214.22,month-to-month,DSL,Credit card,1,0,3,0,0
C101167,Male,70,44,45.13,2026.55,one year,Fiber,Bank transfer,0,0,2,1,0
C101168,Female,72,3,48.72,141.78,month-to-month,Fiber,Bank transfer,1,0,5,1,1
C101169,Female,68,8,38.15,329.54,one year,Fiber,Electronic check,0,1,2,0,1
C101170,Female,54,15,40.96,691.51,month-to-month,Fiber,Electronic check,0,0,2,0,0
C101171,Female,39,13,48.81,657.92,month-to-month,Fiber,Electronic check,1,0,1,0,0
C101172,Male,80,10,19.11,149.02,month-to-month,None,Electronic check,0,1,1,0,1
C101173,Male,31,26,46.11,1261.72,month-to-month,Fiber,Electronic check,0,0,1,1,0
C101174,Male,49,29,21.23,581.81,month-to-month,None,Electronic check,1,1,1,1,1
C101175,Male,48,8,55.33,441.13,one year,Fiber,Electronic check,1,0,3,1,0
C101176,Male,67,8,32.97,240.1,one year,DSL,Mailed check,1,0,0,1,1
C101177,Male,54,10,45.42,323.79,one year,Fiber,Mailed check,1,0,1,1,0
C101178,Male,71,13,25.6,341.53,one year,DSL,Electronic check,1,1,2,1,0
C101179,Male,79,7,53.51,483.2,month-to-month,Fiber,Credit card,0,1,2,1,1
C101180,Female,44,4,31.54,142.15,month-to-month,DSL,Bank transfer,0,0,1,1,0
C101181,Female,76,8,53.52,576.31,month-to-month,Fiber,Electronic check,1,1,1,0,0
C101182,Female,29,3,51.68,147.38,month-to-month,Fiber,Bank transfer,1,0,4,0,1
C101183,Male,79,7,50.77,366.46,month-to-month,Fiber,Mailed check,0,0,3,1,0
C101184,Male,29,18,42.04,751.5,one year,Fiber,Mailed check,0,0,3,0,0
C101185,Male,74,7,27.05,192.35,one year,DSL,Credit card,0,0,0,1,0
C101186,Male,44,9,15.0,153.5,one year,DSL,Electronic check,1,0,0,1,1
C101187,Female,82,11,51.56,642.67,month-to-month,Fiber,Bank transfer,1,0,1,0,0
C101188,Female,26,20,15.0,258.06,one year,None,Electronic check,0,1,2,1,1
C101189,Male,49,13,21.56,280.76,month-to-month,None,Electronic check,0,0,1,0,1
C101190,Male,78,9,15.0,165.79,two years,None,Electronic check,1,0,1,0,0
C101191,Male,21,6,36.63,283.75,month-to-month,DSL,Electronic check,0,0,0,0,0
C101192,Male,35,7,30.68,106.89,month-to-month,DSL,Electronic check,1,1,0,0,1
C101193,Female,23,9,50.24,382.28,month-to-month,Fiber,Mailed check,1,0,2,0,1
C101194,Female,39,18,52.27,942.8,month-to-month,Fiber,Electronic check,1,1,3,0,0
C101195,Female,44,7,45.92,377.38,month-to-month,Fiber,Electronic check,1,0,3,1,0
C101196,Female,59,7,55.85,366.89,month-to-month,Fiber,Electronic check,1,0,1,0,0
C101197,Female,35,13,53.7,731.6,month-to-month,Fiber,Electronic check,1,0,1,1,1
C101198,Female,28,5,37.48,286.31,two years,Fiber,Mailed check,1,0,3,0,0
C101199,Female,29,2,15.0,30.52,month-to-month,None,Mailed check,0,0,2,0,1
C101200,Female,80,18,28.13,494.97,month-to-month,DSL,Bank transfer,1,1,4,0,1
C101201,Male,81,8,15.0,143.59,two years,None,Credit card,0,1,0,0,0
C101202,Female,32,4,44.58,187.31,month-to-month,Fiber,Electronic check,0,1,4,1,1
C101203,Female,31,27,22.72,626.09,one year,DSL,Electronic check,0,1,1,0,0
C101204,Female,21,29,17.04,485.18,month-to-month,None,Credit card,0,0,0,0,0
C101205,Female,82,8,18.99,139.05,month-to-month,None,Bank transfer,0,0,2,1,0
C101206,Female,65,15,49.03,685.21,month-to-month,Fiber,Credit card,0,1,2,1,0
C101207,Female,68,40,32.44,1328.28,month-to-month,DSL,Bank transfer,1,1,2,1,0
C101208,Male,37,7,25.16,124.11,one year,DSL,Bank transfer,0,0,3,0,1
C101209,Female,60,22,47.01,993.37,one year,Fiber,Electronic check,0,0,1,0,0
C101210,Female,22,19,31.24,533.75,month-to-month,DSL,Electronic check,0,0,1,0,1
C101211,Female,63,36,19.03,668.61,two years,DSL,Bank transfer,1,0,0,0,0
C101212,Male,56,2,53.42,108.13,month-to-month,Fiber,Mailed check,1,1,2,1,1
C101213,Female,40,20,16.28,270.61,month-to-month,DSL,Bank transfer,0,1,1,0,0
C101214,Male,65,1,38.21,24.89,two years,Fiber,Credit card,0,0,2,0,0
C101215,Male,61,18,37.15,676.73,two years,Fiber,Electronic check,1,0,2,1,0
C101216,Female,47,7,30.6,135.71,month-to-month,DSL,Electronic check,1,0,0,1,1
C101217,Female,30,1,46.83,8.86,month-to-month,Fiber,Credit card,0,1,2,0,0
C101218,Female,19,21,32.74,777.87,month-to-month,DSL,Credit card,1,1,0,1,0
C101219,Male,80,2,33.63,31.82,month-to-month,DSL,Credit card,0,1,1,0,1
C101220,Female,36,23,38.08,911.26,one year,Fiber,Bank transfer,0,1,1,0,0
C101221,Female,38,6,51.12,281.33,month-to-month,Fiber,Credit card,0,0,2,1,0
C101222,Female,63,8,18.6,158.77,one year,DSL,Electronic check,0,0,0,0,0
C101223,Female,35,4,52.4,169.73,month-to-month,Fiber,Electronic check,1,0,4,0,0
C101224,Male,43,1,47.67,0.0,month-to-month,Fiber,Electronic check,0,1,5,0,1
C101225,Female,65,3,45.98,115.89,month-to-month,Fiber,Electronic check,1,0,2,1,0
C101226,Male,57,6,21.45,150.78,month-to-month,DSL,Credit card,0,0,1,1,0
C101227,Female,61,3,49.54,182.53,month-to-month,Fiber,Mailed check,1,1,4,1,1
C101228,Male,18,2,34.21,75.57,two years,Fiber,Bank transfer,0,0,6,0,0
C101229,Male,48,3,15.0,6.13,two years,DSL,Electronic check,0,0,2,0,1
C101230,Female,49,12,45.93,597.17,one year,Fiber,Bank transfer,1,0,1,0,0
C101231,Female,60,3,54.85,128.44,month-to-month,Fiber,Electronic check,1,1,5,0,0
C101232,Female,28,29,21.97,604.16,two years,DSL,Mailed check,1,1,1,1,0
C101233,Female,28,26,32.85,804.96,two years,Fiber,Electronic check,1,0,3,1,1
C101234,Female,69,0,39.32,0.0,two years,Fiber,Mailed check,0,0,4,0,0
C101235,Male,63,15,33.4,486.26,month-to-month,DSL,Electronic check,0,1,1,1,0
C101236,Male,72,16,19.32,323.75,month-to-month,None,Bank transfer,1,1,2,0,0
C101237,Male,36,13,46.63,538.51,one year,Fiber,Mailed check,1,0,1,0,0
C101238,Male,84,3,47.81,120.42,month-to-month,Fiber,Credit card,1,1,3,0,0
C101239,Male,36,10,18.08,140.74,month-to-month,None,Credit card,1,1,2,1,0
C101240,Female,61,22,16.7,388.82,month-to-month,None,Electronic check,0,0,1,1,1
C101241,Female,28,7,53.06,386.55,month-to-month,Fiber,Electronic check,1,1,2,1,0
C101242,Female,79,17,53.38,855.91,month-to-month,Fiber,Electronic check,0,1,1,0,0
C101243,Male,40,8,22.22,202.41,one year,DSL,Electronic check,1,0,0,1,0
C101244,Female,71,28,28.77,803.06,one year,DSL,Electronic check,1,0,1,1,1
C101245,Female,40,12,15.0,219.66,month-to-month,None,Credit card,0,0,1,0,1
C101246,Female,70,22,49.14,1048.87,month-to-month,Fiber,Credit card,0,0,2,1,1
C101247,Male,48,35,15.0,554.52,two years,None,Electronic check,0,0,1,0,0
C101248,Male,22,9,24.34,262.32,month-to-month,DSL,Bank transfer,0,1,2,1,0
C101249,Female,30,13,23.17,304.68,month-to-month,DSL,Credit card,0,1,1,0,1
C101250,Male,63,42,26.72,1227.19,month-to-month,DSL,Electronic check,1,0,0,1,0
C101251,Male,30,60,53.1,3210.5,month-to-month,Fiber,Credit card,0,1,3,0,0
C101252,Male,36,13,24.61,408.05,one year,DSL,Credit card,1,0,1,1,0
C101253,Female,54,35,27.08,1073.91,month-to-month,DSL,Credit card,0,0,0,1,0
C101254,Female,34,7,15.0,21.36,two years,None,Bank transfer,1,1,1,1,0
C101255,Male,26,10,39.72,454.77,month-to-month,Fiber,Electronic check,0,1,2,0,1
C101256,Male,59,33,42.86,1440.17,two years,Fiber,Electronic check,1,1,2,0,0
C101257,Female,64,14,15.0,222.17,one year,DSL,Credit card,1,0,2,0,0
C101258,Female,67,19,46.46,849.77,month-to-month,Fiber,Electronic check,1,0,3,0,1
C101259,Female,81,4,49.61,153.86,month-to-month,Fiber,Electronic check,1,1,2,1,1
C101260,Male,26,17,32.23,495.21,month-to-month,DSL,Electronic check,0,0,1,1,0
C101261,Female,46,20,41.19,935.06,two years,Fiber,Mailed check,1,1,1,1,0
C101262,Male,33,10,15.0,174.37,one year,None,Electronic check,0,1,2,1,1
C101263,Female,78,8,37.29,230.34,month-to-month,DSL,Credit card,1,1,1,0,0
C101264,Male,54,4,30.07,67.67,month-to-month,None,Mailed check,1,1,4,1,1
C101265,Male,24,28,20.04,459.73,two years,DSL,Electronic check,0,1,0,1,0
C101266,Male,64,13,24.5,378.05,one year,DSL,Electronic check,0,1,1,0,1
C101267,Male,20,5,29.2,148.27,month-to-month,DSL,Bank transfer,0,0,1,1,0
C101268,Female,36,38,16.95,669.39,month-to-month,None,Credit card,1,1,0,1,0
C101269,Male,66,14,51.88,726.43,month-to-month,Fiber,Credit card,1,1,4,0,1
C101270,Male,51,10,51.36,560.97,one year,Fiber,Credit card,0,1,3,0,1
C101271,Male,68,15,37.55,543.39,month-to-month,Fiber,Electronic check,1,0,3,0,1
C101272,Female,56,2,15.0,44.77,one year,None,Credit card,0,1,3,1,0
C101273,Female,74,4,57.44,243.47,month-to-month,Fiber,Mailed check,0,0,4,1,0
C101274,Female,55,22,51.97,1085.23,month-to-month,Fiber,Bank transfer,1,1,1,0,0
C101275,Female,21,7,52.07,328.33,month-to-month,Fiber,Bank transfer,1,1,4,1,1
C101276,Female,22,46,37.0,1686.65,one year,Fiber,Electronic check,1,0,4,1,0
C101277,Female,70,3,53.51,176.58,month-to-month,Fiber,Mailed check,0,1,3,0,1
C101278,Male,20,25,25.05,695.56,two years,DSL,Bank transfer,1,0,1,0,0
C101279,Female,43,25,21.0,530.78,month-to-month,None,Electronic check,1,1,5,0,1
C101280,Female,19,14,21.72,299.73,one year,DSL,Bank transfer,0,1,0,1,0
C101281,Female,38,7,15.0,120.5,two years,None,Electronic check,1,1,1,1,1
C101282,Male,57,7,39.81,270.82,one year,Fiber,Bank transfer,0,1,2,1,0
C101283,Female,29,13,24.15,312.8,month-to-month,DSL,Credit card,0,1,1,0,0
C101284,Male,49,16,29.01,539.97,one year,DSL,Electronic check,1,1,2,0,0
C101285,Male,84,43,55.48,2374.45,month-to-month,Fiber,Electronic check,1,1,1,1,0
C101286,Female,22,16,46.29,753.69,month-to-month,Fiber,Bank transfer,0,1,2,1,1
C101287,Male,22,14,15.0,177.75,one year,None,Electronic check,0,1,3,0,1
C101288,Male,36,16,40.61,712.81,one year,Fiber,Electronic check,1,1,3,0,1
C101289,Female,73,9,30.99,233.32,month-to-month,DSL,Bank transfer,0,0,1,1,0
C101290,Male,45,2,34.18,64.76,two years,Fiber,Electronic check,0,0,3,0,1
C101291,Female,60,25,56.42,1459.6,month-to-month,Fiber,Bank transfer,0,0,1,1,0
C101292,Male,20,47,15.0,661.7,two years,None,Electronic check,1,1,0,0,0
C101293,Male,67,21,46.83,1026.85,one year,Fiber,Electronic check,1,0,3,0,0
C101294,Female,22,6,15.0,0.0,two years,None,Electronic check,1,0,0,1,1
C101295,Female,65,14,27.92,336.28,one year,DSL,Credit card,1,1,1,1,0
C101296,Male,27,12,43.33,515.24,two years,Fiber,Mailed check,0,1,3,0,0
C101297,Female,75,7,36.61,376.76,one year,Fiber,Electronic check,1,1,3,0,1
C101298,Female,37,14,46.6,659.7,month-to-month,Fiber,Electronic check,1,1,2,1,0
C101299,Male,30,40,29.22,1177.01,month-to-month,DSL,Bank transfer,1,1,1,1,1
C101300,Female,40,10,42.37,481.13,one year,Fiber,Bank transfer,1,1,4,1,0
C101301,Male,18,9,34.36,254.9,month-to-month,DSL,Electronic check,0,1,3,1,1
C101302,Female,29,16,17.01,120.56,two years,DSL,Electronic check,0,0,1,1,1
C101303,Female,58,12,33.57,489.58,month-to-month,DSL,Mailed check,1,1,0,1,0
C101304,Female,38,23,42.42,1005.97,two years,Fiber,Bank transfer,0,0,2,1,0
C101305,Female,41,8,29.46,213.42,month-to-month,DSL,Credit card,0,1,0,0,1
C101306,Male,72,13,48.78,637.03,one year,Fiber,Bank transfer,0,0,2,1,1
C101307,Male,26,20,15.0,352.61,two years,None,Bank transfer,1,1,0,1,1
C101308,Male,44,7,49.69,341.38,month-to-month,Fiber,Mailed check,1,1,3,1,1
C101309,Female,30,9,41.13,377.4,one year,Fiber,Bank transfer,0,1,3,1,0
C101310,Female,50,7,49.47,448.02,month-to-month,Fiber,Bank transfer,1,0,1,1,1
C101311,Male,40,10,22.65,164.35,one year,DSL,Electronic check,1,0,1,0,0
C101312,Female,21,8,45.3,388.26,one year,Fiber,Credit card,1,1,3,0,0
C101313,Female,22,2,30.05,0.0,month-to-month,DSL,Electronic check,1,1,4,1,1
C101314,Female,75,17,30.69,599.95,month-to-month,DSL,Bank transfer,0,1,0,0,0
C101315,Male,21,1,30.89,45.55,month-to-month,DSL,Bank transfer,0,1,2,0,0
C101316,Female,70,28,52.87,1445.93,month-to-month,Fiber,Credit card,1,0,3,1,1
C101317,Female,79,8,18.71,74.62,one year,DSL,Electronic check,1,1,0,1,1
C101318,Male,49,4,32.55,112.68,month-to-month,DSL,Credit card,0,0,1,0,0
C101319,Male,38,8,15.0,129.28,two years,None,Electronic check,1,0,1,1,0
C101320,Male,70,28,15.0,477.92,two years,DSL,Electronic check,1,0,2,0,0
C101321,Male,83,6,49.86,244.49,two years,Fiber,Credit card,0,0,2,1,0
C101322,Female,26,13,45.31,547.74,month-to-month,Fiber,Electronic check,0,1,2,1,0
C101323,Female,82,3,47.76,118.43,month-to-month,Fiber,Bank transfer,0,1,2,0,0
C101324,Female,81,26,15.68,368.96,one year,DSL,Mailed check,0,1,0,1,0
C101325,Male,27,30,22.73,656.1,one year,DSL,Credit card,1,1,3,1,1
C101326,Female,21,5,15.0,27.74,two years,None,Credit card,0,0,3,1,0
C101327,Male,65,4,51.21,225.71,month-to-month,Fiber,Electronic check,0,1,3,0,0
C101328,Female,23,3,23.97,47.75,month-to-month,DSL,Credit card,1,1,3,1,0
C101329,Male,58,46,17.78,818.5,two years,DSL,Electronic check,0,1,1,0,0
C101330,Male,22,5,46.84,249.43,one year,Fiber,Bank transfer,1,0,4,0,0
C101331,Female,64,18,31.19,492.5,month-to-month,DSL,Bank transfer,1,1,0,0,0
C101332,Male,33,22,45.64,1033.79,one year,Fiber,Bank transfer,0,1,2,0,0
C101333,Female,24,32,53.8,1732.14,month-to-month,Fiber,Bank transfer,1,0,3,0,0
C101334,Female,22,6,49.46,307.25,month-to-month,Fiber,Credit card,0,0,1,1,1
C101335,Female,30,4,26.96,101.18,month-to-month,None,Bank transfer,0,1,4,0,1
C101336,Female,54,4,48.53,180.66,month-to-month,Fiber,Credit card,0,0,3,1,1
C101337,Male,23,15,23.47,354.78,month-to-month,None,Electronic check,1,0,0,0,0
C101338,Female,71,15,53.65,809.54,month-to-month,Fiber,Electronic check,1,1,1,1,1
C101339,Male,58,9,41.8,317.23,month-to-month,Fiber,Credit card,1,1,2,1,0
C101340,Female,37,17,52.2,966.24,month-to-month,Fiber,Electronic check,0,0,1,0,1
C101341,Male,84,12,46.8,526.8,month-to-month,Fiber,Electronic check,1,0,2,1,1
C101342,Male,62,11,24.96,277.85,month-to-month,DSL,Credit card,1,1,0,0,0
C101343,Female,63,15,15.0,283.26,one year,None,Mailed check,1,1,1,1,0
C101344,Male,29,1,15.81,0.0,one year,None,Electronic check,0,1,1,1,1
C101345,Female,65,6,22.18,144.9,month-to-month,DSL,Electronic check,0,0,0,1,1
C101346,Female,55,16,50.13,692.59,month-to-month,Fiber,Electronic check,0,1,3,0,1
C101347,Female,83,49,43.91,2052.6,one year,Fiber,Electronic check,0,0,1,1,0
C101348,Female,50,12,15.19,181.01,two years,None,Electronic check,1,1,0,1,1
C101349,Female,63,7,36.83,267.3,two years,Fiber,Credit card,1,1,3,1,1
C101350,Male,40,18,25.95,522.39,two years,DSL,Electronic check,1,1,1,0,0
C101351,Male,20,55,46.93,2621.43,one year,Fiber,Credit card,1,1,1,1,0
C101352,Male,26,7,19.83,59.23,two years,DSL,Credit card,0,1,0,1,1
C101353,Female,76,5,56.37,345.25,month-to-month,Fiber,Electronic check,1,1,2,1,0
C101354,Male,67,0,54.61,0.0,one year,Fiber,Credit card,1,0,4,1,0
C101355,Male,42,5,38.95,237.88,two years,Fiber,Electronic check,1,1,2,0,1
C101356,Male,64,6,21.3,105.21,one year,DSL,Bank transfer,1,1,0,0,0
C101357,Male,18,30,52.14,1700.14,month-to-month,Fiber,Credit card,0,1,2,1,1
C101358,Male,20,36,42.88,1514.34,month-to-month,Fiber,Credit card,1,1,1,0,1
C101359,Male,51,5,23.49,113.77,month-to-month,DSL,Electronic check,1,0,1,1,0
C101360,Male,59,55,36.53,2017.31,month-to-month,DSL,Electronic check,1,0,2,0,0
C101361,Male,80,8,27.86,210.75,one year,DSL,Electronic check,0,1,1,0,1
